Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0tZ3mElWcr74OOhKEiNz1x,Bulls On Parade,Evil Empire,Rage Against The Machine,4/16/1996,229466,76,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:34:25Z,"rap metal,rap rock,alternative metal,nu metal",Epic,0.412,0.919,5,-7.291,1,0.184,0.0124,0.0601,0.424,0.572,166.367,4
spotify:track:0tZ3mElWcr74OOhKEiNz1x,Bulls On Parade,Evil Empire,Rage Against The Machine,4/16/1996,229466,76,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:34:25Z,"rap metal,rap rock,alternative metal,nu metal",Epic,0.412,0.919,5,-7.291,1,0.184,0.0124,0.0601,0.424,0.572,166.367,4
spotify:track:06PqeO7IInus2yvzsZwZhf,CUTE DEPRESSED,CUTE DEPRESSED,Dyan Dxddy,2/2/2024,96946,71,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-22T12:20:00Z,"phonk,brazilian phonk",ALT:Vision Records,0.83,0.919,10,-2.12,0,0.145,0.503,0.748,0.0757,0.848,151.221,4
spotify:track:0tZ3mElWcr74OOhKEiNz1x,Bulls On Parade,Evil Empire,Rage Against The Machine,4/16/1996,229466,76,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-22T12:24:58Z,"rap metal,rap rock,alternative metal,nu metal",Epic,0.412,0.919,5,-7.291,1,0.184,0.0124,0.0601,0.424,0.572,166.367,4
spotify:track:0Wms5IftbzNzmrAyXx4A33,MONTAGEM ALQUIMIA,MONTAGEM ALQUIMIA,h6itam;n7san7os;Mc Menor Do Alvorada,1/16/2026,96004,78,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-22T12:19:23Z,"phonk,brazilian phonk,funk",h6itam x n7san7os,0.821,0.917,0,-1.394,1,0.15,0.209,0.0000675,0.108,0.892,130.065,4
spotify:track:2gZUPNdnz5Y45eiGxpHGSc,POWER,My Beautiful Dark Twisted Fantasy,Kanye West,11/22/2010,292093,81,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:34:25Z,rap,Roc-A-Fella,0.542,0.914,0,-4.747,0,0.113,0.0161,0,0.744,0.576,153.993,4
spotify:track:2gZUPNdnz5Y45eiGxpHGSc,POWER,My Beautiful Dark Twisted Fantasy,Kanye West,11/22/2010,292093,81,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:34:25Z,rap,Roc-A-Fella,0.542,0.914,0,-4.747,0,0.113,0.0161,0,0.744,0.576,153.993,4
spotify:track:2gZUPNdnz5Y45eiGxpHGSc,POWER,My Beautiful Dark Twisted Fantasy,Kanye West,11/22/2010,292093,81,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-22T12:24:58Z,rap,Roc-A-Fella,0.542,0.914,0,-4.747,0,0.113,0.0161,0,0.744,0.576,153.993,4
spotify:track:2Wkm4JBcIV2uSuu4qlbqFN,Dionysus,MAP OF THE SOUL : PERSONA,BTS,4/12/2019,249215,70,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:34:25Z,k-pop,BIGHIT MUSIC,0.502,0.91,7,-2.769,1,0.107,0.04,0,0.319,0.588,176.084,4
spotify:track:5UsLjwBaTHBX4ektWIr4XX,Forever,Relapse: Refill,Drake;Kanye West;Lil Wayne;Eminem,5/15/2009,357706,71,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:34:25Z,"rap,hip hop",Eminem Catalog PS,0.457,0.906,5,-2.278,0,0.342,0.249,0,0.182,0.54,104.02,5
spotify:track:5wQnmLuC1W7ATsArWACrgW,Welcome to the Black Parade,The Black Parade,My Chemical Romance,10/20/2006,311106,82,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:34:25Z,"emo,pop punk",Reprise,0.217,0.905,2,-4.103,1,0.0752,0.000289,0.00011,0.222,0.236,96.95,4
